composition_label,n_positions,D_act,D_coke,D_rem,D_CO2,z
Co15Ni16Pd27Rh33Ru17,8,1.3176182433962822,1.9487686157226562,-1.1296084721883137,1.4797139565149944,1.3883472216682093
Co20Ni19Pd25Rh19Ru25,8,1.4106518253684044,2.109831953048706,-1.116444444656372,1.28003648349217,1.3828864016229778
Co25Ni18Pd24Rh23Ru18,8,1.3868949636816978,2.1811528503894806,-1.3428688049316406,0.6734478076299032,1.3734471903150873
Co21Ni26Pd23Rh16Ru22,8,2.306744411587715,2.6008172988891602,-1.3485056400299071,1.0513018369674683,1.3705684382921908
Co17Ni18Pd26Rh19Ru28,8,1.7012654840946198,1.8055271625518798,-1.4975154399871826,1.5567044615745542,1.3637501573392077
Co11Ni21Pd23Rh27Ru26,8,1.7010637782514095,2.130079371588571,-1.3972302164350237,1.059874266386032,1.3609661038871617
Co17Ni22Pd25Rh33Ru11,8,1.5845753848552704,2.0645977088383267,-1.3682223388126917,1.0753262383597237,1.3587016629594113
Co12Ni27Pd22Rh26Ru21,8,1.8734445944428444,1.8394681044987269,-1.577321171760559,1.561585267384847,1.3582019050664786
Co16Ni19Pd30Rh23Ru20,8,1.3789303936064243,2.1962509155273438,-1.56917671362559,0.17093181610107422,1.3561721129934292
Co21Ni19Pd20Rh19Ru29,8,1.6689649149775505,2.3129806518554688,-1.1210142771402996,1.0975732505321503,1.3548106320115985
Co16Ni21Pd25Rh22Ru24,8,2.017728142440319,2.172080079714457,-1.4397194782892864,1.2899747788906097,1.3506207602494043
Co13Ni26Pd11Rh34Ru24,8,1.7240424193441868,2.4107982090541293,-1.537141970225743,0.23510956764221197,1.349964408341195
Co20Ni24Pd19Rh23Ru22,8,1.7535563632845879,1.9519200325012207,-1.2341814041137695,1.728599922997611,1.3495891279041845
Co20Ni19Pd22Rh22Ru25,8,1.6101556569337845,1.9784941332680839,-1.1692225592476981,1.5786020755767822,1.346291956785471
Co17Ni23Pd20Rh26Ru22,8,2.237234242260456,2.288272261619568,-1.7598761320114136,0.7788981993993124,1.3455747357809844
Co17Ni23Pd25Rh21Ru22,8,1.6125260218977928,1.6895496845245361,-1.393021047115326,1.767169611794608,1.3427811100437583
Co17Ni19Pd24Rh26Ru22,8,1.9284284971654415,2.1631762640816823,-1.6575423649379184,0.7589553083692278,1.3379752038501833
Co22Ni24Pd24Rh23Ru15,8,1.7002722695469856,2.0044157505035396,-1.3721039891242977,1.2323154608408609,1.330085682650767
Co19Ni21Pd21Rh22Ru25,8,1.8286670483648777,2.3903070092201233,-1.511861503124237,0.37959843873977656,1.3294310019743876
Co17Ni23Pd20Rh24Ru24,8,1.7721200361847878,1.987126737833023,-1.2729291021823883,1.5324825843175252,1.3290868709766446
Co12Ni19Pd29Rh18Ru30,8,1.2106321677565575,2.0673090389796664,-1.5524189472198486,0.12305173277854911,1.3290687501809364
Co22Ni21Pd27Rh14Ru24,8,2.3137632235884666,2.404073143005371,-1.471182870864868,1.0731995900472004,1.3273428231663151
Co22Ni20Pd25Rh26Ru15,8,1.3726935312151909,1.9887493678501673,-1.2575060299464635,0.9993476470311484,1.3257928313659768
Co21Ni19Pd22Rh20Ru26,8,1.7856841683387756,1.9933215890611922,-1.3881422451564245,1.2901886999607086,1.3169674679100651
Co18Ni20Pd32Rh18Ru20,8,1.7147428318858147,1.9949522018432617,-1.3776942729949953,1.2063857316970825,1.316453179646074
Co16Ni17Pd28Rh21Ru26,8,1.8963673263788223,2.1476755539576216,-1.481401522954305,0.9641433954238892,1.3164408363314695
Co18Ni15Pd21Rh23Ru31,8,1.5261700078845024,1.983654533113752,-1.187079588572184,1.286769946416219,1.3126041433910602
Co18Ni10Pd27Rh28Ru25,8,1.7483964040875435,2.0684099197387695,-1.526872158050537,0.8209862311681112,1.310459314497042
Co22Ni21Pd22Rh21Ru22,8,1.734555646777153,2.0079648971557615,-1.1917660236358643,1.480639968599592,1.3046753765755699
Co22Ni15Pd24Rh15Ru32,8,1.301854059100151,1.9479907512664794,-1.2477155685424803,0.9090703725814819,1.3026611317831112
Co18Ni29Pd20Rh19Ru22,8,1.8261875361204147,2.2384520258222307,-1.351966449192592,0.846711039543152,1.3012389434566858
Co22Ni21Pd27Rh17Ru21,8,2.0084940753877163,2.0820675690968833,-1.4991186459859211,1.1334521770477295,1.2952595200677108
Co15Ni17Pd26Rh25Ru25,8,1.6387613415718079,2.2187366485595703,-1.4290629625320435,0.4727361599604289,1.29484920832072
Co26Ni20Pd20Rh23Ru19,8,2.0450359731912613,2.3311686913172402,-1.2179683844248455,1.158712923526764,1.2940557651905633
Co17Ni18Pd22Rh26Ru25,8,1.8201912119984627,2.1552726924419403,-1.3050199449062347,1.0386122465133667,1.2889070971506231
Co13Ni29Pd23Rh26Ru17,8,2.1202498711645603,2.4300885796546936,-1.5251471996307373,0.4957463343938191,1.2857586702167374
Co22Ni22Pd24Rh19Ru21,8,1.872987661510706,2.4058476856776645,-1.222111088888986,0.7322272062301636,1.285698414507309
